timeStep pedestrianId overlapPedestrianId distance-PID3 overlaps-PID3
1 1 239 0.0 0.4
1 4 228 0.0 0.4
1 23 55 0.0 0.4
1 27 193 0.0 0.4
1 33 322 0.0 0.4
1 38 358 0.0 0.4
1 40 346 0.0 0.4
1 43 261 0.0 0.4
1 47 319 0.0 0.4
1 58 138 0.0 0.4
1 60 231 0.0 0.4
1 61 140 0.0 0.4
1 70 163 0.0 0.4
1 72 158 0.0 0.4
1 77 377 0.0 0.4
1 78 79 0.0 0.4
1 81 334 0.0 0.4
1 85 195 0.0 0.4
1 91 335 0.0 0.4
1 99 209 0.0 0.4
1 102 381 0.0 0.4
1 106 130 0.0 0.4
1 106 289 0.0 0.4
1 112 142 0.0 0.4
1 115 276 0.0 0.4
1 115 314 0.0 0.4
1 115 398 0.0 0.4
1 116 175 0.0 0.4
1 118 198 0.0 0.4
1 120 190 0.0 0.4
1 121 382 0.0 0.4
1 130 289 0.0 0.4
1 135 290 0.0 0.4
1 139 241 0.0 0.4
1 141 215 0.0 0.4
1 147 313 0.0 0.4
1 168 248 0.0 0.4
1 169 242 0.0 0.4
1 169 312 0.0 0.4
1 177 218 0.0 0.4
1 181 225 0.0 0.4
1 188 371 0.0 0.4
1 189 354 0.0 0.4
1 213 344 0.0 0.4
1 229 238 0.0 0.4
1 230 253 0.0 0.4
1 230 284 0.0 0.4
1 242 312 0.0 0.4
1 243 305 0.0 0.4
1 253 284 0.0 0.4
1 276 314 0.0 0.4
1 276 398 0.0 0.4
1 277 300 0.0 0.4
1 297 343 0.0 0.4
1 303 345 0.0 0.4
1 306 375 0.0 0.4
1 314 398 0.0 0.4
2 1 239 0.0 0.4
2 4 228 0.0 0.4
2 23 55 0.0 0.4
2 27 193 0.0 0.4
2 33 322 0.0 0.4
2 38 358 0.0 0.4
2 40 346 0.0 0.4
2 43 261 0.0 0.4
2 47 319 0.0 0.4
2 58 138 0.0 0.4
2 60 231 0.0 0.4
2 61 140 0.0 0.4
2 70 163 0.0 0.4
2 72 158 0.0 0.4
2 77 377 0.0 0.4
2 78 79 0.0 0.4
2 81 334 0.0 0.4
2 85 195 0.0 0.4
2 91 335 0.0 0.4
2 99 209 0.0 0.4
2 102 381 0.0 0.4
2 106 130 0.0 0.4
2 106 289 0.0 0.4
2 112 142 0.0 0.4
2 115 276 0.0 0.4
2 115 314 0.0 0.4
2 115 398 0.0 0.4
2 116 175 0.0 0.4
2 118 198 0.0 0.4
2 120 190 0.0 0.4
2 121 382 0.0 0.4
2 130 289 0.0 0.4
2 135 290 0.0 0.4
2 139 241 0.0 0.4
2 141 215 0.0 0.4
2 147 313 0.0 0.4
2 168 248 0.0 0.4
2 169 242 0.0 0.4
2 169 312 0.0 0.4
2 177 218 0.0 0.4
2 181 225 0.0 0.4
2 188 371 0.0 0.4
2 189 354 0.0 0.4
2 213 344 0.0 0.4
2 229 238 0.0 0.4
2 230 253 0.0 0.4
2 230 284 0.0 0.4
2 242 312 0.0 0.4
2 243 305 0.0 0.4
2 253 284 0.0 0.4
2 276 314 0.0 0.4
2 276 398 0.0 0.4
2 277 300 0.0 0.4
2 297 343 0.0 0.4
2 303 345 0.0 0.4
2 306 375 0.0 0.4
2 314 398 0.0 0.4
3 1 239 0.0 0.4
3 4 228 0.0 0.4
3 23 55 0.0 0.4
3 27 193 0.0 0.4
3 33 322 0.0 0.4
3 38 358 0.0 0.4
3 40 346 0.0 0.4
3 43 261 0.0 0.4
3 47 319 0.0 0.4
3 58 138 0.0 0.4
3 60 231 0.0 0.4
3 61 140 0.0 0.4
3 70 163 0.0 0.4
3 72 158 0.0 0.4
3 77 377 0.0 0.4
3 78 79 0.0 0.4
3 81 334 0.0 0.4
3 85 195 0.0 0.4
3 91 335 0.0 0.4
3 99 209 0.0 0.4
3 102 381 0.0 0.4
3 106 130 0.0 0.4
3 106 289 0.0 0.4
3 112 142 0.0 0.4
3 115 276 0.0 0.4
3 115 314 0.0 0.4
3 115 398 0.0 0.4
3 116 175 0.0 0.4
3 118 198 0.0 0.4
3 120 190 0.0 0.4
3 121 382 0.0 0.4
3 130 289 0.0 0.4
3 135 290 0.0 0.4
3 139 241 0.0 0.4
3 141 215 0.0 0.4
3 147 313 0.0 0.4
3 168 248 0.0 0.4
3 169 242 0.0 0.4
3 169 312 0.0 0.4
3 177 218 0.0 0.4
3 181 225 0.0 0.4
3 188 371 0.0 0.4
3 189 354 0.0 0.4
3 213 344 0.0 0.4
3 229 238 0.0 0.4
3 230 253 0.0 0.4
3 230 284 0.0 0.4
3 242 312 0.0 0.4
