timeStep pedestrianId overlapPedestrianId distance-PID3 overlaps-PID3
3 7 8 0.39182081235549593 0.008179187644504093
3 14 15 0.39153333439550686 0.008466665604493162
3 14 40 0.388032505021528 0.011967494978472049
3 18 44 0.3955728777067914 0.00442712229320863
3 21 47 0.39837898419934614 0.00162101580065388
3 33 34 0.39926689926397557 7.331007360244501E-4
3 36 37 0.39501606192288136 0.004983938077118666
4 9 35 0.39165193789061264 0.008348062109387377
4 58 60 0.39962302835904495 3.769716409550705E-4
4 91 92 0.3928575307569323 0.007142469243067717
5 41 42 0.39199361619770184 0.008006383802298178
12 34 68 0.3957662187542188 0.004233781245781221
17 39 94 0.3910121992620099 0.008987800737990104
20 69 90 0.3979550309112721 0.0020449690887279215
31 18 75 0.3942305924960834 0.005769407503916635
102 72 94 0.390764687986985 0.009235312013015029
